Step 20 | Acc 0.4319 | Time 27.1s
Step 40 | Acc 0.5053 | Time 58.4s
Step 60 | Acc 0.5053 | Time 112.6s
Step 80 | Acc 0.5395 | Time 139.4s
Step 100 | Acc 0.5941 | Time 193.6s
Step 120 | Acc 0.5436 | Time 247.8s
Step 140 | Acc 0.6161 | Time 274.8s
Step 160 | Acc 0.5542 | Time 329.6s
Step 180 | Acc 0.6015 | Time 356.8s
Step 200 | Acc 0.4686 | Time 384.1s
Step 220 | Acc 0.5803 | Time 411.0s
Step 240 | Acc 0.6610 | Time 437.7s
Step 260 | Acc 0.7066 | Time 492.2s
Step 280 | Acc 0.7302 | Time 546.4s
Step 300 | Acc 0.7001 | Time 600.6s
Step 320 | Acc 0.7156 | Time 627.2s
Step 340 | Acc 0.6952 | Time 654.3s
Step 360 | Acc 0.7090 | Time 682.1s
Step 380 | Acc 0.6968 | Time 709.4s
Step 400 | Acc 0.7278 | Time 736.4s
Step 420 | Acc 0.7522 | Time 763.5s
