Step 20 | Acc 0.8349 | Time 82.9s
Step 40 | Acc 0.8440 | Time 170.1s
Step 60 | Acc 0.9083 | Time 281.3s
Step 80 | Acc 0.8899 | Time 390.4s
Step 100 | Acc 0.8899 | Time 475.9s
Step 120 | Acc 0.8716 | Time 558.4s
Step 140 | Acc 0.9266 | Time 644.8s
Step 160 | Acc 0.8991 | Time 753.0s
Step 180 | Acc 0.8991 | Time 838.9s
Step 200 | Acc 0.9450 | Time 922.1s
Step 220 | Acc 0.8532 | Time 1033.1s
Step 240 | Acc 0.9174 | Time 1119.6s
Step 260 | Acc 0.8899 | Time 1200.4s
Step 280 | Acc 0.8807 | Time 1280.9s
Step 300 | Acc 0.8349 | Time 1367.5s
Step 320 | Acc 0.8716 | Time 1452.2s
Step 340 | Acc 0.9450 | Time 1536.5s
Step 360 | Acc 0.9450 | Time 1621.6s
Step 380 | Acc 0.9266 | Time 1701.7s
Step 400 | Acc 0.9266 | Time 1786.6s
