Step 20 | Acc 0.4916 | Time 80.0s
Step 40 | Acc 0.5632 | Time 187.0s
Step 60 | Acc 0.6249 | Time 293.5s
Step 80 | Acc 0.6383 | Time 400.4s
Step 100 | Acc 0.6801 | Time 507.2s
Step 120 | Acc 0.6730 | Time 613.8s
Step 140 | Acc 0.6819 | Time 693.8s
Step 160 | Acc 0.7225 | Time 800.2s
Step 180 | Acc 0.7253 | Time 907.3s
Step 200 | Acc 0.6408 | Time 1014.2s
Step 220 | Acc 0.7247 | Time 1094.0s
Step 240 | Acc 0.7437 | Time 1174.4s
Step 260 | Acc 0.7323 | Time 1281.7s
Step 280 | Acc 0.7376 | Time 1361.9s
Step 300 | Acc 0.7302 | Time 1442.3s
