Step 20 | Acc 0.4841 | Time 32.6s
Step 40 | Acc 0.5420 | Time 64.9s
Step 60 | Acc 0.5664 | Time 97.0s
Step 80 | Acc 0.6683 | Time 129.6s
Step 100 | Acc 0.6406 | Time 162.7s
Step 120 | Acc 0.6944 | Time 195.5s
Step 140 | Acc 0.6968 | Time 227.9s
Step 160 | Acc 0.7172 | Time 261.0s
Step 180 | Acc 0.7025 | Time 293.5s
Step 200 | Acc 0.7425 | Time 326.3s
Step 220 | Acc 0.7302 | Time 358.8s
Step 240 | Acc 0.7335 | Time 391.1s
Step 260 | Acc 0.7579 | Time 423.7s
Step 280 | Acc 0.7669 | Time 456.1s
Step 300 | Acc 0.7669 | Time 488.4s
Step 320 | Acc 0.7588 | Time 520.8s
Step 340 | Acc 0.7604 | Time 553.3s
Step 360 | Acc 0.7653 | Time 586.5s
Step 380 | Acc 0.7612 | Time 619.0s
Step 400 | Acc 0.7800 | Time 651.0s
Step 420 | Acc 0.7628 | Time 683.4s
Step 440 | Acc 0.7685 | Time 715.8s
Step 460 | Acc 0.7726 | Time 748.0s
Step 480 | Acc 0.7857 | Time 781.2s
Step 500 | Acc 0.7954 | Time 813.3s
