Step 20 | Acc 0.7798 | Time 17.3s
Step 40 | Acc 0.8716 | Time 38.7s
Step 60 | Acc 0.8899 | Time 83.3s
Step 80 | Acc 0.9358 | Time 128.3s
Step 100 | Acc 0.8807 | Time 173.3s
Step 120 | Acc 0.8807 | Time 190.2s
Step 140 | Acc 0.8899 | Time 207.0s
Step 160 | Acc 0.8624 | Time 223.8s
Step 180 | Acc 0.8716 | Time 241.6s
Step 200 | Acc 0.8807 | Time 258.3s
Step 220 | Acc 0.8899 | Time 275.3s
Step 240 | Acc 0.8716 | Time 292.0s
Step 260 | Acc 0.8532 | Time 308.9s
Step 280 | Acc 0.8624 | Time 325.6s
Step 300 | Acc 0.8440 | Time 342.5s
Step 320 | Acc 0.8440 | Time 359.3s
Step 340 | Acc 0.9358 | Time 376.2s
Step 360 | Acc 0.8532 | Time 393.2s
Step 380 | Acc 0.9083 | Time 410.0s
