Step 20 | Acc 0.4711 | Time 32.4s
Step 40 | Acc 0.5656 | Time 64.1s
Step 60 | Acc 0.5297 | Time 96.0s
Step 80 | Acc 0.6601 | Time 128.3s
Step 100 | Acc 0.6634 | Time 160.5s
Step 120 | Acc 0.6740 | Time 192.7s
Step 140 | Acc 0.6968 | Time 224.8s
Step 160 | Acc 0.7319 | Time 256.7s
Step 180 | Acc 0.7319 | Time 289.0s
Step 200 | Acc 0.7449 | Time 321.5s
Step 220 | Acc 0.7474 | Time 353.4s
Step 240 | Acc 0.7408 | Time 385.1s
Step 260 | Acc 0.7645 | Time 417.0s
Step 280 | Acc 0.7522 | Time 448.9s
Step 300 | Acc 0.7604 | Time 480.8s
Step 320 | Acc 0.7522 | Time 512.6s
Step 340 | Acc 0.7457 | Time 544.5s
Step 360 | Acc 0.7514 | Time 577.2s
Step 380 | Acc 0.7539 | Time 609.4s
Step 400 | Acc 0.7816 | Time 641.0s
Step 420 | Acc 0.7857 | Time 672.9s
Step 440 | Acc 0.7783 | Time 705.1s
Step 460 | Acc 0.7791 | Time 736.9s
Step 480 | Acc 0.7832 | Time 769.4s
Step 500 | Acc 0.7848 | Time 801.2s
