Step 20 | Acc 0.4703 | Time 31.4s
Step 40 | Acc 0.5648 | Time 66.4s
Step 60 | Acc 0.5428 | Time 124.7s
Step 80 | Acc 0.6618 | Time 156.4s
Step 100 | Acc 0.6846 | Time 214.6s
Step 120 | Acc 0.6919 | Time 273.5s
Step 140 | Acc 0.6862 | Time 332.3s
Step 160 | Acc 0.7270 | Time 363.3s
Step 180 | Acc 0.7196 | Time 422.3s
Step 200 | Acc 0.7351 | Time 453.3s
Step 220 | Acc 0.7311 | Time 512.4s
Step 240 | Acc 0.7245 | Time 543.4s
Step 260 | Acc 0.7490 | Time 574.3s
Step 280 | Acc 0.7645 | Time 633.0s
Step 300 | Acc 0.7522 | Time 691.6s
Step 320 | Acc 0.7490 | Time 722.7s
Step 340 | Acc 0.7620 | Time 753.6s
