Step 20 | Acc 0.7064 | Time 36.8s
Step 40 | Acc 0.8624 | Time 76.8s
Step 60 | Acc 0.8807 | Time 140.7s
Step 80 | Acc 0.8899 | Time 203.7s
Step 100 | Acc 0.8532 | Time 266.4s
Step 120 | Acc 0.8624 | Time 302.4s
Step 140 | Acc 0.8532 | Time 338.4s
Step 160 | Acc 0.8899 | Time 374.5s
Step 180 | Acc 0.8991 | Time 410.2s
Step 200 | Acc 0.9174 | Time 473.4s
Step 220 | Acc 0.8807 | Time 536.2s
Step 240 | Acc 0.8716 | Time 572.3s
Step 260 | Acc 0.9083 | Time 607.9s
Step 280 | Acc 0.8716 | Time 643.9s
Step 300 | Acc 0.8899 | Time 679.8s
Step 320 | Acc 0.8807 | Time 716.0s
Step 340 | Acc 0.9083 | Time 751.5s
Step 360 | Acc 0.9174 | Time 787.1s
Step 380 | Acc 0.9174 | Time 823.2s
