Step 20 | Acc 0.4474 | Time 73.8s
Step 40 | Acc 0.4902 | Time 150.9s
Step 60 | Acc 0.6320 | Time 251.3s
Step 80 | Acc 0.6703 | Time 352.3s
Step 100 | Acc 0.6068 | Time 452.8s
Step 120 | Acc 0.6834 | Time 526.0s
Step 140 | Acc 0.6610 | Time 626.4s
Step 160 | Acc 0.6944 | Time 700.0s
Step 180 | Acc 0.6752 | Time 800.8s
Step 200 | Acc 0.6960 | Time 873.9s
Step 220 | Acc 0.6944 | Time 974.4s
Step 240 | Acc 0.6805 | Time 1047.7s
Step 260 | Acc 0.7335 | Time 1120.6s
Step 280 | Acc 0.7408 | Time 1220.5s
Step 300 | Acc 0.7506 | Time 1321.1s
Step 320 | Acc 0.7408 | Time 1421.0s
Step 340 | Acc 0.7294 | Time 1494.1s
Step 360 | Acc 0.7526 | Time 1566.7s
Step 380 | Acc 0.7547 | Time 1666.4s
Step 400 | Acc 0.7669 | Time 1766.5s
Step 420 | Acc 0.7433 | Time 1866.8s
Step 440 | Acc 0.7453 | Time 1939.8s
