Step 20 | Acc 0.4912 | Time 79.6s
Step 40 | Acc 0.5636 | Time 162.9s
Step 60 | Acc 0.6241 | Time 269.4s
Step 80 | Acc 0.6377 | Time 376.2s
Step 100 | Acc 0.6838 | Time 483.3s
Step 120 | Acc 0.6793 | Time 590.1s
Step 140 | Acc 0.6828 | Time 669.8s
Step 160 | Acc 0.7286 | Time 749.6s
Step 180 | Acc 0.7237 | Time 857.1s
Step 200 | Acc 0.6734 | Time 936.9s
Step 220 | Acc 0.7270 | Time 1016.6s
Step 240 | Acc 0.7427 | Time 1096.4s
Step 260 | Acc 0.7374 | Time 1203.5s
Step 280 | Acc 0.7392 | Time 1283.3s
Step 300 | Acc 0.7437 | Time 1362.9s
Step 320 | Acc 0.7376 | Time 1469.5s
Step 340 | Acc 0.7494 | Time 1549.1s
Step 360 | Acc 0.7145 | Time 1655.8s
Step 380 | Acc 0.7584 | Time 1735.4s
