Step 20 | Acc 0.6789 | Time 85.2s
Step 40 | Acc 0.9083 | Time 174.9s
Step 60 | Acc 0.9083 | Time 276.1s
Step 80 | Acc 0.8807 | Time 358.4s
Step 100 | Acc 0.8349 | Time 435.0s
Step 120 | Acc 0.9174 | Time 520.9s
Step 140 | Acc 0.9174 | Time 630.0s
Step 160 | Acc 0.9358 | Time 707.6s
Step 180 | Acc 0.9083 | Time 816.3s
Step 200 | Acc 0.9358 | Time 906.8s
Step 220 | Acc 0.9266 | Time 997.2s
Step 240 | Acc 0.9358 | Time 1077.3s
Step 260 | Acc 0.9450 | Time 1167.4s
Step 280 | Acc 0.9266 | Time 1278.1s
Step 300 | Acc 0.8624 | Time 1360.3s
Step 320 | Acc 0.8807 | Time 1444.6s
Step 340 | Acc 0.9083 | Time 1537.8s
Step 360 | Acc 0.9266 | Time 1623.7s
Step 380 | Acc 0.9174 | Time 1711.2s
Step 400 | Acc 0.8716 | Time 1791.5s
Step 420 | Acc 0.8991 | Time 1886.9s
Step 440 | Acc 0.8807 | Time 1968.0s
Step 460 | Acc 0.8807 | Time 2053.6s
