Step 20 | Acc 0.4470 | Time 48.3s
Step 40 | Acc 0.4980 | Time 96.7s
Step 60 | Acc 0.6190 | Time 145.0s
Step 80 | Acc 0.6508 | Time 193.6s
Step 100 | Acc 0.6544 | Time 242.1s
Step 120 | Acc 0.6711 | Time 290.7s
Step 140 | Acc 0.6618 | Time 339.4s
Step 160 | Acc 0.6797 | Time 387.7s
Step 180 | Acc 0.6736 | Time 436.5s
Step 200 | Acc 0.7021 | Time 485.4s
Step 220 | Acc 0.7131 | Time 533.8s
Step 240 | Acc 0.7095 | Time 581.9s
Step 260 | Acc 0.7469 | Time 630.6s
Step 280 | Acc 0.7539 | Time 679.1s
Step 300 | Acc 0.7575 | Time 727.6s
Step 320 | Acc 0.7575 | Time 775.7s
Step 340 | Acc 0.7543 | Time 824.3s
Step 360 | Acc 0.7579 | Time 873.4s
Step 380 | Acc 0.7535 | Time 922.0s
Step 400 | Acc 0.7763 | Time 970.3s
Step 420 | Acc 0.7490 | Time 1018.7s
Step 440 | Acc 0.7604 | Time 1067.2s
Step 460 | Acc 0.7372 | Time 1115.8s
Step 480 | Acc 0.7323 | Time 1164.9s
Step 500 | Acc 0.7645 | Time 1213.1s
