Step 20 | Acc 0.3584 | Time 102.2s
Step 40 | Acc 0.5249 | Time 208.3s
Step 60 | Acc 0.5247 | Time 343.6s
Step 80 | Acc 0.5784 | Time 446.0s
Step 100 | Acc 0.6190 | Time 576.2s
Step 120 | Acc 0.5931 | Time 705.4s
Step 140 | Acc 0.6247 | Time 806.7s
Step 160 | Acc 0.6379 | Time 935.9s
Step 180 | Acc 0.6457 | Time 1065.7s
Step 200 | Acc 0.6993 | Time 1195.1s
Step 220 | Acc 0.6958 | Time 1323.8s
Step 240 | Acc 0.7078 | Time 1425.8s
Step 260 | Acc 0.6915 | Time 1578.0s
Step 280 | Acc 0.6646 | Time 1679.0s
Step 300 | Acc 0.7033 | Time 1781.2s
Step 320 | Acc 0.7235 | Time 1883.1s
Step 340 | Acc 0.7431 | Time 2012.2s
Step 360 | Acc 0.7378 | Time 2165.6s
Step 380 | Acc 0.7341 | Time 2268.0s
Step 400 | Acc 0.6475 | Time 2370.1s
Step 420 | Acc 0.7076 | Time 2471.8s
Step 440 | Acc 0.7351 | Time 2573.4s
Step 460 | Acc 0.7021 | Time 2675.5s
Step 480 | Acc 0.7290 | Time 2777.3s
Step 500 | Acc 0.7306 | Time 2879.0s
Step 520 | Acc 0.7325 | Time 2981.0s
Step 540 | Acc 0.7445 | Time 3083.5s
Step 560 | Acc 0.7117 | Time 3213.9s
Step 580 | Acc 0.7249 | Time 3316.5s
Step 600 | Acc 0.7559 | Time 3418.9s
Step 620 | Acc 0.7488 | Time 3525.8s
Step 640 | Acc 0.7331 | Time 3656.4s
Step 660 | Acc 0.7245 | Time 3758.5s
Step 680 | Acc 0.7117 | Time 3860.8s
