Step 20 | Acc 0.4319 | Time 27.1s
Step 40 | Acc 0.5053 | Time 58.8s
Step 60 | Acc 0.5053 | Time 110.9s
Step 80 | Acc 0.5395 | Time 137.9s
Step 100 | Acc 0.5941 | Time 192.4s
Step 120 | Acc 0.5436 | Time 247.0s
Step 140 | Acc 0.6161 | Time 274.2s
Step 160 | Acc 0.5542 | Time 328.4s
Step 180 | Acc 0.6015 | Time 355.9s
Step 200 | Acc 0.4686 | Time 383.3s
Step 220 | Acc 0.5803 | Time 410.3s
Step 240 | Acc 0.6610 | Time 437.1s
Step 260 | Acc 0.7066 | Time 491.5s
Step 280 | Acc 0.7302 | Time 545.8s
Step 300 | Acc 0.7001 | Time 600.4s
Step 320 | Acc 0.7156 | Time 627.0s
Step 340 | Acc 0.6952 | Time 654.2s
Step 360 | Acc 0.7090 | Time 682.0s
Step 380 | Acc 0.6968 | Time 709.2s
Step 400 | Acc 0.7278 | Time 736.2s
Step 420 | Acc 0.7522 | Time 763.3s
