Step 20 | Acc 0.4478 | Time 49.1s
Step 40 | Acc 0.4971 | Time 101.7s
Step 60 | Acc 0.6292 | Time 178.4s
Step 80 | Acc 0.6691 | Time 254.1s
Step 100 | Acc 0.5139 | Time 330.9s
Step 120 | Acc 0.6936 | Time 380.6s
Step 140 | Acc 0.6748 | Time 456.6s
Step 160 | Acc 0.7143 | Time 506.0s
Step 180 | Acc 0.7066 | Time 581.8s
Step 200 | Acc 0.6964 | Time 630.7s
Step 220 | Acc 0.7229 | Time 679.5s
Step 240 | Acc 0.6911 | Time 755.4s
Step 260 | Acc 0.7323 | Time 804.4s
Step 280 | Acc 0.7282 | Time 880.0s
Step 300 | Acc 0.7494 | Time 928.8s
Step 320 | Acc 0.7498 | Time 1004.1s
Step 340 | Acc 0.7412 | Time 1079.8s
Step 360 | Acc 0.7429 | Time 1128.9s
Step 380 | Acc 0.7539 | Time 1177.7s
Step 400 | Acc 0.7608 | Time 1230.1s
Step 420 | Acc 0.7551 | Time 1282.4s
Step 440 | Acc 0.7441 | Time 1335.1s
Step 460 | Acc 0.7331 | Time 1384.6s
Step 480 | Acc 0.7571 | Time 1433.7s
Step 500 | Acc 0.7616 | Time 1486.1s
