Step 20 | Acc 0.4882 | Time 33.4s
Step 40 | Acc 0.5338 | Time 66.1s
Step 60 | Acc 0.5689 | Time 98.6s
Step 80 | Acc 0.6544 | Time 131.6s
Step 100 | Acc 0.6699 | Time 165.4s
Step 120 | Acc 0.6968 | Time 198.8s
Step 140 | Acc 0.7107 | Time 232.0s
Step 160 | Acc 0.7074 | Time 265.4s
Step 180 | Acc 0.7148 | Time 299.1s
Step 200 | Acc 0.7596 | Time 332.4s
Step 220 | Acc 0.7376 | Time 365.5s
Step 240 | Acc 0.7376 | Time 398.0s
Step 260 | Acc 0.7628 | Time 431.6s
Step 280 | Acc 0.7677 | Time 464.5s
Step 300 | Acc 0.7710 | Time 497.9s
Step 320 | Acc 0.7677 | Time 530.5s
Step 340 | Acc 0.7384 | Time 563.7s
Step 360 | Acc 0.7612 | Time 597.2s
Step 380 | Acc 0.7604 | Time 630.4s
Step 400 | Acc 0.7905 | Time 663.4s
Step 420 | Acc 0.7555 | Time 696.3s
Step 440 | Acc 0.7653 | Time 729.4s
Step 460 | Acc 0.7669 | Time 762.4s
Step 480 | Acc 0.7751 | Time 795.9s
Step 500 | Acc 0.7759 | Time 828.5s
