Step 20 | Acc 0.4694 | Time 32.4s
Step 40 | Acc 0.5648 | Time 67.9s
Step 60 | Acc 0.5403 | Time 126.8s
Step 80 | Acc 0.6667 | Time 159.1s
Step 100 | Acc 0.6732 | Time 217.9s
Step 120 | Acc 0.6944 | Time 276.8s
Step 140 | Acc 0.6797 | Time 335.6s
Step 160 | Acc 0.7188 | Time 367.1s
Step 180 | Acc 0.7148 | Time 426.2s
Step 200 | Acc 0.7425 | Time 457.8s
Step 220 | Acc 0.7376 | Time 516.3s
Step 240 | Acc 0.7400 | Time 547.7s
Step 260 | Acc 0.7408 | Time 579.5s
Step 280 | Acc 0.7563 | Time 611.2s
Step 300 | Acc 0.7783 | Time 670.1s
