Step 20 | Acc 0.4872 | Time 80.9s
Step 40 | Acc 0.5660 | Time 165.5s
Step 60 | Acc 0.6237 | Time 300.6s
Step 80 | Acc 0.6383 | Time 429.8s
Step 100 | Acc 0.6813 | Time 538.2s
Step 120 | Acc 0.6746 | Time 654.9s
Step 140 | Acc 0.6852 | Time 735.7s
Step 160 | Acc 0.7225 | Time 854.4s
Step 180 | Acc 0.7180 | Time 987.8s
Step 200 | Acc 0.6438 | Time 1069.0s
Step 220 | Acc 0.7272 | Time 1150.0s
Step 240 | Acc 0.7410 | Time 1257.5s
Step 260 | Acc 0.7384 | Time 1388.0s
Step 280 | Acc 0.7414 | Time 1468.7s
Step 300 | Acc 0.7419 | Time 1581.1s
Step 320 | Acc 0.7471 | Time 1688.7s
Step 340 | Acc 0.7329 | Time 1806.4s
Step 360 | Acc 0.7172 | Time 1888.0s
Step 380 | Acc 0.7543 | Time 1969.0s
Step 400 | Acc 0.7465 | Time 2090.0s
Step 420 | Acc 0.7520 | Time 2170.9s
Step 440 | Acc 0.7355 | Time 2252.1s
Step 460 | Acc 0.7531 | Time 2332.9s
Step 480 | Acc 0.7608 | Time 2414.6s
Step 500 | Acc 0.7559 | Time 2545.6s
