Step 20 | Acc 0.4572 | Time 83.7s
Step 40 | Acc 0.4531 | Time 171.1s
Step 60 | Acc 0.6194 | Time 254.2s
Step 80 | Acc 0.5355 | Time 365.8s
Step 100 | Acc 0.5493 | Time 449.3s
Step 120 | Acc 0.6316 | Time 533.3s
Step 140 | Acc 0.6064 | Time 644.0s
Step 160 | Acc 0.6047 | Time 727.1s
Step 180 | Acc 0.6365 | Time 810.6s
Step 200 | Acc 0.6830 | Time 921.2s
Step 220 | Acc 0.6504 | Time 1031.8s
Step 240 | Acc 0.6960 | Time 1115.4s
Step 260 | Acc 0.7327 | Time 1225.8s
Step 280 | Acc 0.7107 | Time 1335.8s
Step 300 | Acc 0.6846 | Time 1418.6s
Step 320 | Acc 0.7139 | Time 1501.5s
Step 340 | Acc 0.6879 | Time 1584.2s
Step 360 | Acc 0.6626 | Time 1666.7s
Step 380 | Acc 0.6569 | Time 1750.0s
Step 400 | Acc 0.7082 | Time 1833.2s
Step 420 | Acc 0.6830 | Time 1916.3s
Step 440 | Acc 0.7180 | Time 1998.6s
Step 460 | Acc 0.6740 | Time 2082.2s
