Step 20 | Acc 0.4831 | Time 80.8s
Step 40 | Acc 0.5638 | Time 167.2s
Step 60 | Acc 0.6233 | Time 277.2s
Step 80 | Acc 0.6424 | Time 406.6s
Step 100 | Acc 0.6826 | Time 515.5s
Step 120 | Acc 0.6742 | Time 628.8s
Step 140 | Acc 0.6783 | Time 710.5s
Step 160 | Acc 0.7292 | Time 793.3s
Step 180 | Acc 0.7152 | Time 922.2s
Step 200 | Acc 0.6748 | Time 1004.1s
Step 220 | Acc 0.7290 | Time 1085.9s
Step 240 | Acc 0.7402 | Time 1167.3s
Step 260 | Acc 0.7406 | Time 1276.8s
Step 280 | Acc 0.7531 | Time 1388.6s
Step 300 | Acc 0.7421 | Time 1509.5s
Step 320 | Acc 0.7478 | Time 1590.8s
Step 340 | Acc 0.7378 | Time 1672.3s
Step 360 | Acc 0.7233 | Time 1755.6s
Step 380 | Acc 0.7537 | Time 1837.2s
Step 400 | Acc 0.7396 | Time 1945.6s
Step 420 | Acc 0.7579 | Time 2026.8s
Step 440 | Acc 0.7366 | Time 2135.7s
Step 460 | Acc 0.7608 | Time 2216.9s
Step 480 | Acc 0.7600 | Time 2326.2s
