Step 20 | Acc 0.4393 | Time 113.4s
Step 40 | Acc 0.5367 | Time 229.8s
Step 60 | Acc 0.6194 | Time 371.8s
Step 80 | Acc 0.6557 | Time 513.6s
Step 100 | Acc 0.6406 | Time 657.0s
Step 120 | Acc 0.6597 | Time 772.8s
Step 140 | Acc 0.6646 | Time 915.2s
Step 160 | Acc 0.6834 | Time 1055.0s
Step 180 | Acc 0.6663 | Time 1192.6s
Step 200 | Acc 0.6385 | Time 1304.9s
Step 220 | Acc 0.6707 | Time 1416.6s
Step 240 | Acc 0.6899 | Time 1529.4s
Step 260 | Acc 0.7282 | Time 1669.3s
Step 280 | Acc 0.7453 | Time 1812.8s
Step 300 | Acc 0.7486 | Time 1956.9s
Step 320 | Acc 0.7551 | Time 2094.6s
Step 340 | Acc 0.7266 | Time 2235.8s
Step 360 | Acc 0.7649 | Time 2349.4s
Step 380 | Acc 0.7661 | Time 2489.9s
