Step 20 | Acc 0.4478 | Time 48.9s
Step 40 | Acc 0.4971 | Time 101.5s
Step 60 | Acc 0.6292 | Time 177.6s
Step 80 | Acc 0.6695 | Time 252.8s
Step 100 | Acc 0.5134 | Time 329.0s
Step 120 | Acc 0.6936 | Time 378.4s
Step 140 | Acc 0.6748 | Time 453.8s
Step 160 | Acc 0.7152 | Time 502.6s
Step 180 | Acc 0.7066 | Time 578.3s
Step 200 | Acc 0.6956 | Time 627.1s
Step 220 | Acc 0.7213 | Time 675.9s
Step 240 | Acc 0.6899 | Time 751.5s
Step 260 | Acc 0.7319 | Time 800.4s
Step 280 | Acc 0.7339 | Time 875.9s
Step 300 | Acc 0.7490 | Time 951.2s
Step 320 | Acc 0.7531 | Time 1026.1s
