Step 20 | Acc 0.4711 | Time 56.2s
Step 40 | Acc 0.5656 | Time 115.5s
Step 60 | Acc 0.5289 | Time 197.8s
Step 80 | Acc 0.6585 | Time 252.6s
Step 100 | Acc 0.6667 | Time 334.8s
Step 120 | Acc 0.6716 | Time 416.8s
Step 140 | Acc 0.7050 | Time 499.4s
Step 160 | Acc 0.7009 | Time 581.5s
Step 180 | Acc 0.7139 | Time 636.5s
Step 200 | Acc 0.7392 | Time 718.5s
Step 220 | Acc 0.7425 | Time 800.8s
Step 240 | Acc 0.7449 | Time 882.9s
Step 260 | Acc 0.7571 | Time 964.9s
Step 280 | Acc 0.7579 | Time 1047.1s
Step 300 | Acc 0.7498 | Time 1128.8s
