Step 20 | Acc 0.4319 | Time 27.6s
Step 40 | Acc 0.5110 | Time 59.2s
Step 60 | Acc 0.5126 | Time 113.8s
Step 80 | Acc 0.5297 | Time 168.5s
Step 100 | Acc 0.6064 | Time 224.2s
Step 120 | Acc 0.5485 | Time 279.4s
Step 140 | Acc 0.6194 | Time 307.4s
Step 160 | Acc 0.5697 | Time 362.7s
Step 180 | Acc 0.6316 | Time 391.2s
Step 200 | Acc 0.6316 | Time 446.9s
Step 220 | Acc 0.6349 | Time 474.7s
Step 240 | Acc 0.6447 | Time 529.1s
Step 260 | Acc 0.6952 | Time 584.6s
Step 280 | Acc 0.7229 | Time 639.4s
Step 300 | Acc 0.7115 | Time 694.7s
Step 320 | Acc 0.7058 | Time 721.9s
Step 340 | Acc 0.7009 | Time 749.9s
Step 360 | Acc 0.7115 | Time 778.2s
Step 380 | Acc 0.7351 | Time 806.2s
Step 400 | Acc 0.7270 | Time 861.0s
Step 420 | Acc 0.7376 | Time 888.7s
Step 440 | Acc 0.6944 | Time 943.8s
Step 460 | Acc 0.6544 | Time 971.5s
Step 480 | Acc 0.7237 | Time 999.8s
Step 500 | Acc 0.7351 | Time 1027.1s
Step 520 | Acc 0.7229 | Time 1054.6s
Step 540 | Acc 0.7384 | Time 1082.8s
Step 560 | Acc 0.7416 | Time 1137.7s
Step 580 | Acc 0.7604 | Time 1192.6s
