Step 20 | Acc 0.3572 | Time 102.0s
Step 40 | Acc 0.5297 | Time 208.0s
Step 60 | Acc 0.5183 | Time 336.5s
Step 80 | Acc 0.5685 | Time 438.4s
Step 100 | Acc 0.6251 | Time 567.0s
Step 120 | Acc 0.6225 | Time 695.7s
Step 140 | Acc 0.6347 | Time 797.4s
Step 160 | Acc 0.6267 | Time 925.8s
Step 180 | Acc 0.6536 | Time 1027.6s
Step 200 | Acc 0.6850 | Time 1156.2s
Step 220 | Acc 0.6976 | Time 1285.5s
Step 240 | Acc 0.7221 | Time 1417.8s
Step 260 | Acc 0.7074 | Time 1546.8s
Step 280 | Acc 0.6775 | Time 1648.1s
Step 300 | Acc 0.7064 | Time 1749.5s
Step 320 | Acc 0.7311 | Time 1851.1s
Step 340 | Acc 0.7451 | Time 1980.1s
Step 360 | Acc 0.7280 | Time 2117.9s
Step 380 | Acc 0.7298 | Time 2219.5s
Step 400 | Acc 0.6491 | Time 2320.9s
Step 420 | Acc 0.7256 | Time 2422.5s
Step 440 | Acc 0.7384 | Time 2524.2s
Step 460 | Acc 0.7268 | Time 2625.8s
Step 480 | Acc 0.7172 | Time 2727.6s
Step 500 | Acc 0.7306 | Time 2829.4s
Step 520 | Acc 0.7423 | Time 2931.0s
Step 540 | Acc 0.7445 | Time 3032.7s
