Step 20 | Acc 0.4328 | Time 50.2s
Step 40 | Acc 0.5045 | Time 103.6s
Step 60 | Acc 0.5077 | Time 180.0s
Step 80 | Acc 0.5428 | Time 255.7s
Step 100 | Acc 0.5941 | Time 331.9s
Step 120 | Acc 0.5420 | Time 408.1s
Step 140 | Acc 0.6088 | Time 457.1s
Step 160 | Acc 0.5469 | Time 533.6s
Step 180 | Acc 0.6284 | Time 582.5s
Step 200 | Acc 0.6064 | Time 658.9s
Step 220 | Acc 0.5909 | Time 707.9s
Step 240 | Acc 0.6667 | Time 757.1s
Step 260 | Acc 0.6960 | Time 833.9s
Step 280 | Acc 0.7115 | Time 910.3s
Step 300 | Acc 0.7139 | Time 987.5s
Step 320 | Acc 0.7286 | Time 1063.6s
Step 340 | Acc 0.6789 | Time 1139.6s
Step 360 | Acc 0.7253 | Time 1188.9s
Step 380 | Acc 0.7148 | Time 1238.4s
