Step 20 | Acc 0.4466 | Time 48.1s
Step 40 | Acc 0.5008 | Time 95.9s
Step 60 | Acc 0.6178 | Time 143.9s
Step 80 | Acc 0.6487 | Time 192.3s
Step 100 | Acc 0.6544 | Time 240.5s
Step 120 | Acc 0.6699 | Time 288.5s
Step 140 | Acc 0.6646 | Time 336.5s
Step 160 | Acc 0.6817 | Time 384.5s
Step 180 | Acc 0.6781 | Time 432.8s
Step 200 | Acc 0.6907 | Time 480.8s
Step 220 | Acc 0.7258 | Time 528.7s
Step 240 | Acc 0.7107 | Time 576.4s
Step 260 | Acc 0.7461 | Time 624.4s
Step 280 | Acc 0.7404 | Time 672.6s
Step 300 | Acc 0.7535 | Time 720.8s
Step 320 | Acc 0.7588 | Time 768.7s
Step 340 | Acc 0.7400 | Time 816.8s
Step 360 | Acc 0.7547 | Time 865.5s
Step 380 | Acc 0.7522 | Time 913.7s
Step 400 | Acc 0.7751 | Time 961.5s
Step 420 | Acc 0.7632 | Time 1009.4s
Step 440 | Acc 0.7522 | Time 1057.5s
Step 460 | Acc 0.7429 | Time 1105.3s
Step 480 | Acc 0.7412 | Time 1153.1s
Step 500 | Acc 0.7763 | Time 1200.9s
