Step 20 | Acc 0.4703 | Time 32.4s
Step 40 | Acc 0.5648 | Time 68.7s
Step 60 | Acc 0.5151 | Time 127.8s
Step 80 | Acc 0.6398 | Time 160.3s
Step 100 | Acc 0.6716 | Time 219.5s
Step 120 | Acc 0.6691 | Time 279.0s
Step 140 | Acc 0.7082 | Time 311.4s
Step 160 | Acc 0.7278 | Time 370.4s
Step 180 | Acc 0.7148 | Time 430.1s
Step 200 | Acc 0.7368 | Time 462.6s
Step 220 | Acc 0.7213 | Time 521.7s
Step 240 | Acc 0.7425 | Time 553.5s
Step 260 | Acc 0.7637 | Time 613.0s
Step 280 | Acc 0.7612 | Time 672.3s
Step 300 | Acc 0.7677 | Time 704.4s
