Step 20 | Acc 0.4328 | Time 26.9s
Step 40 | Acc 0.5053 | Time 57.7s
Step 60 | Acc 0.5102 | Time 109.9s
Step 80 | Acc 0.5346 | Time 163.7s
Step 100 | Acc 0.6031 | Time 217.3s
Step 120 | Acc 0.5452 | Time 271.1s
Step 140 | Acc 0.6243 | Time 297.6s
Step 160 | Acc 0.5469 | Time 351.1s
Step 180 | Acc 0.5566 | Time 378.0s
Step 200 | Acc 0.6650 | Time 404.6s
Step 220 | Acc 0.6129 | Time 458.3s
Step 240 | Acc 0.6716 | Time 484.6s
Step 260 | Acc 0.6952 | Time 538.4s
Step 280 | Acc 0.7278 | Time 592.1s
Step 300 | Acc 0.7074 | Time 645.9s
Step 320 | Acc 0.7229 | Time 672.4s
Step 340 | Acc 0.6968 | Time 699.1s
Step 360 | Acc 0.7278 | Time 726.5s
Step 380 | Acc 0.7213 | Time 753.5s
Step 400 | Acc 0.7180 | Time 779.9s
Step 420 | Acc 0.7392 | Time 806.5s
Step 440 | Acc 0.7074 | Time 860.2s
Step 460 | Acc 0.6748 | Time 886.6s
Step 480 | Acc 0.7474 | Time 913.0s
Step 500 | Acc 0.7408 | Time 966.5s
Step 520 | Acc 0.7270 | Time 993.2s
Step 540 | Acc 0.7384 | Time 1020.2s
Step 560 | Acc 0.7425 | Time 1046.8s
Step 580 | Acc 0.7506 | Time 1073.3s
