Step 20 | Acc 0.4694 | Time 32.2s
Step 40 | Acc 0.5640 | Time 63.7s
Step 60 | Acc 0.5485 | Time 95.5s
Step 80 | Acc 0.6585 | Time 127.6s
Step 100 | Acc 0.6919 | Time 159.4s
Step 120 | Acc 0.6862 | Time 191.4s
Step 140 | Acc 0.6993 | Time 223.1s
Step 160 | Acc 0.7107 | Time 254.6s
Step 180 | Acc 0.7245 | Time 286.8s
Step 200 | Acc 0.7311 | Time 318.5s
Step 220 | Acc 0.7294 | Time 350.2s
Step 240 | Acc 0.7311 | Time 381.8s
Step 260 | Acc 0.7571 | Time 413.7s
Step 280 | Acc 0.7669 | Time 445.4s
Step 300 | Acc 0.7408 | Time 477.1s
Step 320 | Acc 0.7400 | Time 508.7s
Step 340 | Acc 0.7612 | Time 540.4s
Step 360 | Acc 0.7555 | Time 572.1s
Step 380 | Acc 0.7628 | Time 604.2s
Step 400 | Acc 0.7767 | Time 635.8s
Step 420 | Acc 0.7612 | Time 667.5s
Step 440 | Acc 0.7734 | Time 699.3s
Step 460 | Acc 0.7702 | Time 730.9s
Step 480 | Acc 0.7783 | Time 762.5s
Step 500 | Acc 0.7791 | Time 794.2s
