Step 20 | Acc 0.4908 | Time 81.1s
Step 40 | Acc 0.5630 | Time 167.3s
Step 60 | Acc 0.6249 | Time 275.5s
Step 80 | Acc 0.6375 | Time 383.9s
Step 100 | Acc 0.6828 | Time 492.0s
Step 120 | Acc 0.6819 | Time 600.2s
Step 140 | Acc 0.6830 | Time 681.6s
Step 160 | Acc 0.7282 | Time 789.5s
Step 180 | Acc 0.7227 | Time 897.9s
Step 200 | Acc 0.6669 | Time 979.5s
Step 220 | Acc 0.7292 | Time 1060.6s
Step 240 | Acc 0.7402 | Time 1168.2s
Step 260 | Acc 0.7284 | Time 1276.5s
Step 280 | Acc 0.7457 | Time 1357.8s
Step 300 | Acc 0.7451 | Time 1465.8s
Step 320 | Acc 0.7449 | Time 1546.7s
Step 340 | Acc 0.7410 | Time 1628.0s
Step 360 | Acc 0.7060 | Time 1710.0s
Step 380 | Acc 0.7573 | Time 1791.4s
