Step 20 | Acc 0.4914 | Time 80.2s
Step 40 | Acc 0.5636 | Time 164.2s
Step 60 | Acc 0.6241 | Time 271.2s
Step 80 | Acc 0.6369 | Time 378.5s
Step 100 | Acc 0.6834 | Time 504.7s
Step 120 | Acc 0.6805 | Time 619.3s
Step 140 | Acc 0.6828 | Time 699.6s
Step 160 | Acc 0.7288 | Time 779.8s
Step 180 | Acc 0.7249 | Time 905.7s
Step 200 | Acc 0.6722 | Time 985.8s
Step 220 | Acc 0.7288 | Time 1066.0s
Step 240 | Acc 0.7423 | Time 1146.0s
Step 260 | Acc 0.7329 | Time 1262.1s
Step 280 | Acc 0.7461 | Time 1342.4s
Step 300 | Acc 0.7469 | Time 1457.6s
Step 320 | Acc 0.7419 | Time 1571.9s
Step 340 | Acc 0.7467 | Time 1652.2s
Step 360 | Acc 0.7029 | Time 1733.0s
Step 380 | Acc 0.7575 | Time 1813.7s
Step 400 | Acc 0.7471 | Time 1946.1s
Step 420 | Acc 0.7596 | Time 2026.4s
Step 440 | Acc 0.7366 | Time 2133.8s
Step 460 | Acc 0.7639 | Time 2214.2s
