Step 20 | Acc 0.4311 | Time 28.3s
Step 40 | Acc 0.5110 | Time 60.2s
Step 60 | Acc 0.5371 | Time 115.6s
Step 80 | Acc 0.5061 | Time 170.2s
Step 100 | Acc 0.6015 | Time 198.9s
Step 120 | Acc 0.5607 | Time 254.6s
Step 140 | Acc 0.6137 | Time 282.4s
Step 160 | Acc 0.5615 | Time 337.3s
Step 180 | Acc 0.6145 | Time 365.0s
Step 200 | Acc 0.6471 | Time 419.8s
Step 220 | Acc 0.6390 | Time 474.3s
Step 240 | Acc 0.6667 | Time 502.0s
Step 260 | Acc 0.7131 | Time 556.9s
Step 280 | Acc 0.7156 | Time 611.4s
Step 300 | Acc 0.7025 | Time 666.1s
Step 320 | Acc 0.7213 | Time 693.4s
Step 340 | Acc 0.6659 | Time 748.4s
Step 360 | Acc 0.6911 | Time 776.6s
Step 380 | Acc 0.7270 | Time 804.7s
Step 400 | Acc 0.7343 | Time 859.4s
Step 420 | Acc 0.7465 | Time 913.7s
Step 440 | Acc 0.7042 | Time 968.2s
Step 460 | Acc 0.6764 | Time 996.4s
Step 480 | Acc 0.7213 | Time 1024.2s
