Step 20 | Acc 0.4462 | Time 48.3s
Step 40 | Acc 0.4976 | Time 100.5s
Step 60 | Acc 0.6117 | Time 175.5s
Step 80 | Acc 0.6434 | Time 251.0s
Step 100 | Acc 0.6418 | Time 326.3s
Step 120 | Acc 0.6711 | Time 374.6s
Step 140 | Acc 0.6659 | Time 449.7s
Step 160 | Acc 0.6834 | Time 497.8s
Step 180 | Acc 0.6923 | Time 573.4s
Step 200 | Acc 0.6976 | Time 648.9s
Step 220 | Acc 0.7070 | Time 723.9s
Step 240 | Acc 0.7135 | Time 799.4s
Step 260 | Acc 0.7392 | Time 875.2s
Step 280 | Acc 0.7457 | Time 950.6s
Step 300 | Acc 0.7494 | Time 1026.1s
Step 320 | Acc 0.7584 | Time 1101.0s
Step 340 | Acc 0.7294 | Time 1153.1s
Step 360 | Acc 0.7518 | Time 1201.8s
Step 380 | Acc 0.7531 | Time 1254.4s
Step 400 | Acc 0.7738 | Time 1306.4s
Step 420 | Acc 0.7706 | Time 1358.1s
