Step 20 | Acc 0.4470 | Time 67.5s
Step 40 | Acc 0.4988 | Time 138.6s
Step 60 | Acc 0.6149 | Time 233.2s
Step 80 | Acc 0.6471 | Time 327.2s
Step 100 | Acc 0.6504 | Time 421.3s
Step 120 | Acc 0.6732 | Time 515.4s
Step 140 | Acc 0.6630 | Time 609.7s
Step 160 | Acc 0.6838 | Time 677.3s
Step 180 | Acc 0.6822 | Time 771.7s
Step 200 | Acc 0.6964 | Time 839.0s
Step 220 | Acc 0.7050 | Time 933.1s
Step 240 | Acc 0.7086 | Time 1027.5s
Step 260 | Acc 0.7412 | Time 1121.8s
Step 280 | Acc 0.7449 | Time 1216.2s
Step 300 | Acc 0.7604 | Time 1310.8s
Step 320 | Acc 0.7510 | Time 1381.3s
Step 340 | Acc 0.7433 | Time 1452.2s
Step 360 | Acc 0.7498 | Time 1519.8s
Step 380 | Acc 0.7559 | Time 1614.3s
Step 400 | Acc 0.7808 | Time 1684.9s
Step 420 | Acc 0.7620 | Time 1755.5s
