Step 20 | Acc 0.4254 | Time 43.9s
Step 40 | Acc 0.5387 | Time 91.4s
Step 60 | Acc 0.4988 | Time 162.1s
Step 80 | Acc 0.5428 | Time 206.0s
Step 100 | Acc 0.6174 | Time 276.6s
Step 120 | Acc 0.6565 | Time 347.4s
Step 140 | Acc 0.6312 | Time 417.9s
Step 160 | Acc 0.6267 | Time 461.5s
Step 180 | Acc 0.6891 | Time 505.1s
Step 200 | Acc 0.5807 | Time 575.7s
Step 220 | Acc 0.6801 | Time 619.3s
Step 240 | Acc 0.7131 | Time 662.9s
Step 260 | Acc 0.7131 | Time 733.4s
Step 280 | Acc 0.6940 | Time 777.1s
Step 300 | Acc 0.6548 | Time 820.7s
Step 320 | Acc 0.6989 | Time 864.4s
Step 340 | Acc 0.7237 | Time 908.0s
Step 360 | Acc 0.6031 | Time 978.6s
Step 380 | Acc 0.6883 | Time 1022.2s
Step 400 | Acc 0.7343 | Time 1065.8s
Step 420 | Acc 0.7013 | Time 1136.4s
Step 440 | Acc 0.7319 | Time 1180.0s
Step 460 | Acc 0.7274 | Time 1223.9s
Step 480 | Acc 0.7298 | Time 1267.5s
Step 500 | Acc 0.7327 | Time 1311.0s
Step 520 | Acc 0.7441 | Time 1354.6s
Step 540 | Acc 0.7347 | Time 1425.4s
Step 560 | Acc 0.7469 | Time 1469.2s
Step 580 | Acc 0.7502 | Time 1539.8s
Step 600 | Acc 0.7363 | Time 1587.3s
Step 620 | Acc 0.7103 | Time 1630.9s
Step 640 | Acc 0.7433 | Time 1674.6s
Step 660 | Acc 0.7372 | Time 1718.2s
Step 680 | Acc 0.7339 | Time 1761.8s
Step 700 | Acc 0.7433 | Time 1805.5s
Step 720 | Acc 0.7543 | Time 1849.0s
Step 740 | Acc 0.7604 | Time 1896.6s
Step 760 | Acc 0.7535 | Time 1944.2s
Step 780 | Acc 0.7437 | Time 1992.0s
Step 800 | Acc 0.7555 | Time 2035.6s
