Step 20 | Acc 0.4311 | Time 28.3s
Step 40 | Acc 0.5110 | Time 82.5s
Step 60 | Acc 0.5371 | Time 137.7s
Step 80 | Acc 0.5061 | Time 192.3s
Step 100 | Acc 0.6015 | Time 220.9s
Step 120 | Acc 0.5607 | Time 276.4s
Step 140 | Acc 0.6137 | Time 304.2s
Step 160 | Acc 0.5615 | Time 359.3s
Step 180 | Acc 0.6145 | Time 387.2s
Step 200 | Acc 0.6471 | Time 442.2s
Step 220 | Acc 0.6390 | Time 497.2s
Step 240 | Acc 0.6667 | Time 525.2s
Step 260 | Acc 0.7131 | Time 580.5s
Step 280 | Acc 0.7156 | Time 635.4s
Step 300 | Acc 0.7025 | Time 690.3s
Step 320 | Acc 0.7213 | Time 717.5s
Step 340 | Acc 0.6659 | Time 772.5s
Step 360 | Acc 0.6911 | Time 800.6s
Step 380 | Acc 0.7270 | Time 828.6s
Step 400 | Acc 0.7343 | Time 883.3s
Step 420 | Acc 0.7465 | Time 938.0s
Step 440 | Acc 0.7042 | Time 992.8s
Step 460 | Acc 0.6764 | Time 1021.3s
Step 480 | Acc 0.7213 | Time 1049.3s
