Step 20 | Acc 0.4703 | Time 32.1s
Step 40 | Acc 0.5648 | Time 63.3s
Step 60 | Acc 0.5428 | Time 94.6s
Step 80 | Acc 0.6618 | Time 126.5s
Step 100 | Acc 0.6846 | Time 157.9s
Step 120 | Acc 0.6919 | Time 189.6s
Step 140 | Acc 0.6862 | Time 221.1s
Step 160 | Acc 0.7270 | Time 252.6s
Step 180 | Acc 0.7196 | Time 284.5s
Step 200 | Acc 0.7351 | Time 316.0s
Step 220 | Acc 0.7311 | Time 347.5s
Step 240 | Acc 0.7245 | Time 379.0s
Step 260 | Acc 0.7490 | Time 410.4s
Step 280 | Acc 0.7645 | Time 441.9s
Step 300 | Acc 0.7522 | Time 473.4s
Step 320 | Acc 0.7490 | Time 505.0s
Step 340 | Acc 0.7620 | Time 536.4s
Step 360 | Acc 0.7579 | Time 568.1s
Step 380 | Acc 0.7653 | Time 599.6s
Step 400 | Acc 0.7800 | Time 631.0s
Step 420 | Acc 0.7628 | Time 662.5s
Step 440 | Acc 0.7759 | Time 694.1s
Step 460 | Acc 0.7808 | Time 725.6s
Step 480 | Acc 0.7710 | Time 757.0s
Step 500 | Acc 0.7808 | Time 788.5s
