Step 20 | Acc 0.4564 | Time 83.6s
Step 40 | Acc 0.4719 | Time 170.2s
Step 60 | Acc 0.5672 | Time 279.7s
Step 80 | Acc 0.5713 | Time 389.6s
Step 100 | Acc 0.5623 | Time 499.5s
Step 120 | Acc 0.6227 | Time 582.7s
Step 140 | Acc 0.5713 | Time 692.4s
Step 160 | Acc 0.5852 | Time 775.4s
Step 180 | Acc 0.5542 | Time 858.1s
Step 200 | Acc 0.6789 | Time 940.7s
Step 220 | Acc 0.6300 | Time 1050.7s
Step 240 | Acc 0.6161 | Time 1132.8s
Step 260 | Acc 0.7156 | Time 1215.7s
Step 280 | Acc 0.6724 | Time 1325.4s
Step 300 | Acc 0.6585 | Time 1408.2s
Step 320 | Acc 0.6968 | Time 1490.6s
Step 340 | Acc 0.6879 | Time 1573.1s
Step 360 | Acc 0.6773 | Time 1655.4s
Step 380 | Acc 0.6691 | Time 1738.4s
Step 400 | Acc 0.7164 | Time 1821.1s
Step 420 | Acc 0.7164 | Time 1931.0s
Step 440 | Acc 0.6724 | Time 2013.9s
Step 460 | Acc 0.6846 | Time 2096.5s
Step 480 | Acc 0.7270 | Time 2179.1s
Step 500 | Acc 0.6887 | Time 2288.6s
Step 520 | Acc 0.6903 | Time 2371.3s
Step 540 | Acc 0.7205 | Time 2453.5s
Step 560 | Acc 0.7294 | Time 2535.5s
Step 580 | Acc 0.7425 | Time 2645.3s
Step 600 | Acc 0.7270 | Time 2754.9s
Step 620 | Acc 0.6561 | Time 2837.2s
Step 640 | Acc 0.7302 | Time 2919.5s
Step 660 | Acc 0.6960 | Time 3002.0s
Step 680 | Acc 0.7066 | Time 3083.8s
Step 700 | Acc 0.6561 | Time 3166.5s
Step 720 | Acc 0.7172 | Time 3248.0s
Step 740 | Acc 0.7213 | Time 3330.3s
Step 760 | Acc 0.7213 | Time 3412.8s
Step 780 | Acc 0.7082 | Time 3495.8s
