Step 20 | Acc 0.4328 | Time 50.6s
Step 40 | Acc 0.5045 | Time 126.7s
Step 60 | Acc 0.5077 | Time 203.9s
Step 80 | Acc 0.5428 | Time 280.6s
Step 100 | Acc 0.5941 | Time 357.3s
Step 120 | Acc 0.5420 | Time 433.7s
Step 140 | Acc 0.6088 | Time 483.9s
Step 160 | Acc 0.5469 | Time 560.5s
Step 180 | Acc 0.6284 | Time 610.1s
Step 200 | Acc 0.6064 | Time 686.3s
Step 220 | Acc 0.5909 | Time 735.9s
Step 240 | Acc 0.6667 | Time 785.2s
Step 260 | Acc 0.6960 | Time 861.8s
Step 280 | Acc 0.7115 | Time 938.4s
Step 300 | Acc 0.7139 | Time 1014.9s
Step 320 | Acc 0.7286 | Time 1091.1s
Step 340 | Acc 0.6789 | Time 1168.0s
Step 360 | Acc 0.7253 | Time 1217.0s
Step 380 | Acc 0.7148 | Time 1266.7s
