Step 20 | Acc 0.4328 | Time 49.8s
Step 40 | Acc 0.5045 | Time 103.4s
Step 60 | Acc 0.5077 | Time 180.4s
Step 80 | Acc 0.5428 | Time 257.2s
Step 100 | Acc 0.5941 | Time 333.7s
Step 120 | Acc 0.5420 | Time 409.9s
Step 140 | Acc 0.6088 | Time 459.1s
Step 160 | Acc 0.5469 | Time 535.6s
Step 180 | Acc 0.6284 | Time 584.9s
Step 200 | Acc 0.6064 | Time 660.7s
Step 220 | Acc 0.5909 | Time 710.0s
Step 240 | Acc 0.6667 | Time 758.7s
Step 260 | Acc 0.6960 | Time 835.6s
Step 280 | Acc 0.7115 | Time 911.3s
Step 300 | Acc 0.7139 | Time 987.8s
Step 320 | Acc 0.7286 | Time 1063.7s
Step 340 | Acc 0.6789 | Time 1140.3s
Step 360 | Acc 0.7253 | Time 1189.7s
Step 380 | Acc 0.7148 | Time 1239.4s
