Step 20 | Acc 0.4328 | Time 27.1s
Step 40 | Acc 0.5045 | Time 57.4s
Step 60 | Acc 0.5077 | Time 111.0s
Step 80 | Acc 0.5436 | Time 164.7s
Step 100 | Acc 0.5770 | Time 218.1s
Step 120 | Acc 0.5566 | Time 271.8s
Step 140 | Acc 0.6186 | Time 298.1s
Step 160 | Acc 0.5607 | Time 351.5s
Step 180 | Acc 0.6422 | Time 378.0s
Step 200 | Acc 0.6015 | Time 431.4s
Step 220 | Acc 0.6577 | Time 457.8s
Step 240 | Acc 0.6773 | Time 511.2s
Step 260 | Acc 0.7042 | Time 564.6s
Step 280 | Acc 0.7465 | Time 618.0s
Step 300 | Acc 0.6911 | Time 671.3s
Step 320 | Acc 0.7400 | Time 697.7s
Step 340 | Acc 0.6716 | Time 724.1s
Step 360 | Acc 0.7148 | Time 750.6s
Step 380 | Acc 0.7180 | Time 777.1s
Step 400 | Acc 0.7139 | Time 803.6s
Step 420 | Acc 0.7457 | Time 830.0s
Step 440 | Acc 0.6764 | Time 856.5s
Step 460 | Acc 0.6675 | Time 883.2s
Step 480 | Acc 0.7441 | Time 909.6s
