Step 20 | Acc 0.4908 | Time 81.0s
Step 40 | Acc 0.5634 | Time 166.3s
Step 60 | Acc 0.6249 | Time 274.1s
Step 80 | Acc 0.6359 | Time 383.1s
Step 100 | Acc 0.6836 | Time 491.8s
Step 120 | Acc 0.6797 | Time 599.6s
Step 140 | Acc 0.6822 | Time 680.4s
Step 160 | Acc 0.7294 | Time 760.9s
Step 180 | Acc 0.7247 | Time 868.9s
Step 200 | Acc 0.6661 | Time 949.7s
Step 220 | Acc 0.7292 | Time 1030.4s
Step 240 | Acc 0.7447 | Time 1110.9s
Step 260 | Acc 0.7313 | Time 1218.9s
Step 280 | Acc 0.7382 | Time 1299.8s
Step 300 | Acc 0.7447 | Time 1380.9s
Step 320 | Acc 0.7445 | Time 1461.6s
Step 340 | Acc 0.7474 | Time 1542.5s
Step 360 | Acc 0.7111 | Time 1651.3s
Step 380 | Acc 0.7577 | Time 1732.5s
