Step 20 | Acc 0.3798 | Time 43.7s
Step 40 | Acc 0.6161 | Time 92.0s
Step 60 | Acc 0.5566 | Time 162.1s
Step 80 | Acc 0.6667 | Time 204.6s
Step 100 | Acc 0.6390 | Time 276.1s
Step 120 | Acc 0.6520 | Time 318.9s
Step 140 | Acc 0.7294 | Time 362.2s
Step 160 | Acc 0.7196 | Time 432.1s
Step 180 | Acc 0.7082 | Time 475.3s
Step 200 | Acc 0.7474 | Time 519.0s
Step 220 | Acc 0.6960 | Time 588.6s
Step 240 | Acc 0.7294 | Time 631.1s
Step 260 | Acc 0.7123 | Time 674.2s
Step 280 | Acc 0.7441 | Time 716.8s
Step 300 | Acc 0.7384 | Time 759.5s
Step 320 | Acc 0.7294 | Time 802.1s
Step 340 | Acc 0.7392 | Time 845.4s
Step 360 | Acc 0.7441 | Time 888.1s
Step 380 | Acc 0.7563 | Time 930.5s
