Layer,LayerShape,ag_total_packets,ag_dropped_packets,ag_received_packets,rs_total_packets,rs_dropped_packets,rs_received_packets
0,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
1,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
2,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
3,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
4,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
5,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
6,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
7,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
8,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
9,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
10,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
11,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
12,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
13,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
14,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
15,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
16,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
17,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
18,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
19,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
20,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
79,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
80,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
81,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
82,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
83,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
84,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
85,"global_elems=1034516480, dtype=torch.float16",178365,178365,0,1426920,1426920,0
