Step 20 | Acc 0.4908 | Time 81.0s
Step 40 | Acc 0.5630 | Time 166.6s
Step 60 | Acc 0.6249 | Time 274.7s
Step 80 | Acc 0.6375 | Time 399.6s
Step 100 | Acc 0.6828 | Time 534.1s
Step 120 | Acc 0.6819 | Time 664.1s
Step 140 | Acc 0.6830 | Time 745.7s
Step 160 | Acc 0.7282 | Time 853.7s
Step 180 | Acc 0.7227 | Time 972.0s
Step 200 | Acc 0.6669 | Time 1053.7s
Step 220 | Acc 0.7292 | Time 1134.8s
Step 240 | Acc 0.7402 | Time 1254.4s
Step 260 | Acc 0.7284 | Time 1363.4s
Step 280 | Acc 0.7457 | Time 1444.8s
Step 300 | Acc 0.7451 | Time 1553.3s
Step 320 | Acc 0.7449 | Time 1634.2s
Step 340 | Acc 0.7410 | Time 1715.6s
Step 360 | Acc 0.7060 | Time 1797.5s
Step 380 | Acc 0.7573 | Time 1879.0s
Step 400 | Acc 0.7402 | Time 1992.5s
Step 420 | Acc 0.7598 | Time 2073.9s
Step 440 | Acc 0.7427 | Time 2195.3s
Step 460 | Acc 0.7630 | Time 2276.8s
